,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos\'a0Summary,Name-additional\
1,CJ\'a0Abrams*,22,WSN,NL,131,521,481,70,119,22,4,16,54,41,3,22,103,0.247,0.297,0.41,0.707,94,197,6,13,3,2,0,*6/H,abramcj01\
2,Jos\'e9\'a0Abreu,36,HOU,AL,122,516,469,51,111,19,0,14,75,0,1,37,109,0.237,0.297,0.367,0.663,82,172,14,5,0,5,1,*3/D,abreujo02\
3,Wilyer\'a0Abreu*,24,BOS,AL,11,32,29,4,7,3,0,1,5,0,1,3,11,0.241,0.313,0.448,0.761,101,13,0,0,0,0,0,/8H97D,abreuwi02\
4,Ronald\'a0Acuna\'a0Jr.,25,ATL,NL,140,650,569,127,190,32,3,35,90,63,11,72,76,0.334,0.414,0.585,0.999,163,333,14,7,0,2,3,*9,acunaro01\
5,Willy\'a0Adames,27,MIL,NL,128,549,481,62,102,20,0,24,71,4,3,55,143,0.212,0.298,0.403,0.701,89,194,10,6,0,5,0,*6/D,adamewi01\
6,Jordyn\'a0Adams,23,LAA,AL,11,18,17,0,3,0,0,0,1,0,1,0,7,0.176,0.167,0.176,0.343,-7,3,0,0,0,1,0,/8H9,adamsjo03\
7,Riley\'a0Adams,27,WSN,NL,44,158,143,8,39,13,2,4,21,0,0,11,45,0.273,0.331,0.476,0.807,121,68,5,2,1,1,0,2/HD,adamsri03\
8,Ty\'a0Adcock,26,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,adcocty01\
9,Jo\'a0Adell,24,LAA,AL,5,14,13,2,3,1,1,1,3,0,0,1,6,0.231,0.286,0.692,0.978,152,9,0,0,0,0,0,/8D7H9,adelljo01\
10,Ehire\'a0Adrianza#,33,ATL,NL,5,11,10,0,0,0,0,0,0,0,0,1,4,0,0.091,0,0.091,-72,0,0,0,0,0,0,/H6,adriaeh01\
11,Jes\'fas\'a0Aguilar,33,OAK,AL,36,115,104,8,23,2,0,5,9,0,0,8,31,0.221,0.281,0.385,0.665,88,40,3,1,0,1,2,3/DH,aguilje01\
12,Nick\'a0Ahmed,33,ARI,NL,72,210,198,14,42,10,1,2,17,5,1,12,52,0.212,0.257,0.303,0.56,53,60,0,0,0,0,0,6H/D,ahmedni01\
13,Hanser\'a0Alberto,30,CHW,AL,30,90,82,11,18,5,0,3,16,0,0,4,13,0.22,0.261,0.39,0.652,75,32,1,1,2,1,0,54/31H,alberha01\
14,Ozzie\'a0Albies#,26,ATL,NL,127,558,503,78,133,21,4,29,91,11,0,38,93,0.264,0.322,0.495,0.817,114,249,8,8,0,7,2,*4,albieoz01\
15,Scott\'a0Alexander*,33,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,alexasc02\
16,Jorge\'a0Alfaro,30,TOT,MLB,18,52,48,2,7,4,0,1,4,0,0,2,15,0.146,0.212,0.292,0.503,30,14,3,2,0,0,0,/D2H,alfarjo01\
17,Jorge\'a0Alfaro,30,COL,NL,10,32,31,2,5,4,0,1,4,0,0,0,12,0.161,0.188,0.387,0.575,43,12,2,1,0,0,0,/DH2,alfarjo01\
18,Jorge\'a0Alfaro,30,BOS,AL,8,20,17,0,2,0,0,0,0,0,0,2,3,0.118,0.25,0.118,0.368,4,2,1,1,0,0,0,/2DH,alfarjo01\
19,Greg\'a0Allen#,30,NYY,AL,22,28,23,6,5,1,1,1,1,3,1,2,10,0.217,0.333,0.478,0.812,119,11,0,2,1,0,0,7H/98D,allengr01\
20,Nick\'a0Allen,24,OAK,AL,88,269,247,24,52,2,1,4,17,5,1,14,43,0.211,0.254,0.275,0.529,51,68,6,1,5,2,0,6/H4D,allenni02\
21,Abraham\'a0Almonte#,34,NYM,NL,8,16,15,1,1,1,0,0,0,0,0,1,8,0.067,0.125,0.133,0.258,-28,2,0,0,0,0,0,/HD79,almonab01\
22,Pete\'a0Alonso,28,NYM,NL,132,560,480,79,108,16,2,42,102,4,1,60,123,0.225,0.33,0.529,0.86,133,254,16,17,0,3,5,*3/D,alonspe01\
23,Jose\'a0Altuve,33,HOU,AL,70,317,276,63,87,16,2,15,39,13,2,37,56,0.315,0.401,0.551,0.951,159,152,6,3,0,1,0,4/DH,altuvjo01\
24,Jake\'a0Alu*,26,WSN,NL,34,118,109,9,27,1,0,1,11,4,1,6,29,0.248,0.297,0.284,0.581,63,31,2,2,0,1,0,47/H5,aluja01\
25,Francisco\'a0Alvarez,21,NYM,NL,106,373,337,47,72,9,0,22,51,1,0,31,93,0.214,0.29,0.436,0.726,98,147,14,5,0,0,0,*2H/D,alvarfr01\
26,Yordan\'a0Alvarez*,26,HOU,AL,94,411,339,66,100,18,1,25,82,0,0,59,76,0.295,0.411,0.575,0.986,168,195,6,10,0,3,3,D7,alvaryo01\
27,Jacob\'a0Amaya,24,MIA,NL,4,9,9,1,2,0,0,0,2,1,0,0,1,0.222,0.222,0.222,0.444,23,2,0,0,0,0,0,/64,amayaja01\
28,Miguel\'a0Amaya,24,CHC,NL,45,140,115,17,25,4,0,5,18,0,0,12,38,0.217,0.345,0.383,0.728,96,44,2,11,1,1,0,2/DH,amayami01\
29,Brian\'a0Anderson,30,MIL,NL,93,355,312,37,70,11,3,9,40,0,3,36,107,0.224,0.31,0.365,0.675,83,114,10,4,0,3,0,59/DH,anderbr06\
30,Tim\'a0Anderson,30,CHW,AL,106,459,430,47,102,17,2,1,24,13,1,24,107,0.237,0.281,0.293,0.574,58,126,15,3,0,2,0,*6/4H,anderti01\
31,Elvis\'a0Andrus,34,CHW,AL,97,352,320,35,81,16,1,5,37,11,4,25,58,0.253,0.313,0.356,0.67,83,114,6,4,1,2,1,46/5HD,andruel01\
32,Miguel\'a0Andujar,28,PIT,NL,18,47,45,4,9,2,0,3,10,0,0,2,7,0.2,0.234,0.444,0.678,78,20,1,0,0,0,0,9/HD,andujmi01\
33,Jonathan\'a0Aranda*,25,TBR,AL,17,51,40,8,9,1,1,1,5,0,0,9,17,0.225,0.373,0.375,0.748,109,15,1,1,0,1,1,/3DH4,arandjo01\
34,Jonathan\'a0Ara\'faz#,24,NYM,NL,23,63,56,2,7,0,0,2,6,0,0,5,17,0.125,0.197,0.232,0.429,19,13,1,0,2,0,0,May-46,arauzjo01\
35,Orlando\'a0Arcia,28,ATL,NL,119,453,417,58,117,20,0,17,58,1,0,31,85,0.281,0.333,0.451,0.784,107,188,14,3,0,2,0,*6/H,arciaor01\
36,Nolan\'a0Arenado,32,STL,NL,134,570,523,67,143,25,2,26,88,3,3,37,96,0.273,0.321,0.478,0.799,116,250,20,3,0,7,5,*5D/H,arenano01\
37,Gabriel\'a0Arias,23,CLE,AL,110,299,271,33,59,13,0,9,21,2,4,28,96,0.218,0.291,0.365,0.656,82,99,7,0,0,0,0,63H95/D4,ariasga01\
38,Randy\'a0Arozarena,28,TBR,AL,136,588,493,86,126,16,2,21,78,22,10,73,138,0.256,0.367,0.424,0.791,120,209,8,17,0,5,0,*7D/H,arozara01\
39,Luis\'a0Arraez*,26,MIA,NL,135,571,528,62,185,29,3,6,63,2,2,35,33,0.35,0.393,0.451,0.844,131,238,17,4,1,3,10,*4/3HD,arraelu01\
40,Christian\'a0Arroyo,28,BOS,AL,66,206,195,23,47,16,0,3,24,1,3,7,45,0.241,0.268,0.369,0.638,69,72,8,1,1,2,0,4/H56,arroych01\
41,Jos\'e9\'a0Azocar,27,SDP,NL,40,68,62,11,16,4,0,0,5,6,2,2,16,0.258,0.281,0.323,0.604,70,20,0,0,4,0,0,9H/87D,azocajo01\
42,Akil\'a0Baddoo*,24,DET,AL,97,315,276,35,61,11,0,9,28,11,3,36,77,0.221,0.31,0.359,0.669,82,99,3,0,2,1,2,7H/89D,baddoak01\
43,Harrison\'a0Bader,29,TOT,MLB,91,324,302,41,71,11,2,7,37,18,3,14,56,0.235,0.272,0.354,0.627,70,107,7,3,1,4,0,8/HD,baderha01\
44,Harrison\'a0Bader,29,NYY,AL,84,310,288,40,69,11,2,7,37,17,2,14,56,0.24,0.278,0.365,0.643,75,105,6,3,1,4,0,8/H,baderha01\
45,Harrison\'a0Bader,29,CIN,NL,7,14,14,1,2,0,0,0,0,1,1,0,0,0.143,0.143,0.143,0.286,-23,2,1,0,0,0,0,/8HD,baderha01\
46,Ji\'a0Hwan\'a0Bae*,23,PIT,NL,94,305,274,44,66,14,1,2,25,22,7,24,72,0.241,0.305,0.321,0.626,71,88,3,2,3,2,0,48H/6,baeji01\
47,Javier\'a0B\'e1ez,30,DET,AL,123,495,461,53,102,13,4,8,54,11,0,21,115,0.221,0.267,0.319,0.586,60,147,11,9,0,3,0,*6/HD,baezja01\
48,Patrick\'a0Bailey#,24,SFG,NL,84,308,282,26,70,17,1,7,45,1,0,20,86,0.248,0.304,0.39,0.694,90,110,5,3,2,1,0,2/HD,bailepa01\
49,Bryan\'a0Baker,28,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bakerbr01\
50,Luken\'a0Baker,26,STL,NL,19,48,46,4,10,1,0,1,4,0,0,2,18,0.217,0.25,0.304,0.554,52,14,1,0,0,0,0,D/3H,bakerlu01\
51,Rylan\'a0Bannon,27,HOU,AL,2,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,/4D,bannory01\
52,Scott\'a0Barlow,30,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,barlosc01\
53,Scott\'a0Barlow,30,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,barlosc01\
54,Austin\'a0Barnes,33,LAD,NL,51,170,154,10,25,4,0,1,8,2,1,12,38,0.162,0.231,0.208,0.439,21,32,7,2,1,1,0,2/H4D,barneau01\
55,Tucker\'a0Barnhart*,32,CHC,NL,44,123,109,6,22,3,0,1,9,1,0,12,42,0.202,0.285,0.257,0.541,48,28,4,1,0,1,0,2/1H,barnhtu01\
56,Tres\'a0Barrera,28,STL,NL,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,/2H,barretr01\
57,Jose\'a0Barrero,25,CIN,NL,46,149,133,15,29,8,0,2,17,3,2,15,44,0.218,0.295,0.323,0.619,66,43,1,0,0,1,0,68/HD,garcijo02\
58,Joey\'a0Bart,26,SFG,NL,28,89,82,8,18,5,0,0,5,0,0,2,22,0.22,0.27,0.28,0.55,53,23,0,4,0,1,0,2/H,bartjo01\
59,Osleivis\'a0Basabe,22,TBR,AL,19,64,59,10,14,3,0,1,9,0,1,4,14,0.237,0.297,0.339,0.636,77,20,1,1,0,0,0,6/H5,basabos01\
60,Matthew\'a0Batten,28,SDP,NL,23,63,55,11,15,3,0,2,6,0,1,7,9,0.273,0.355,0.436,0.791,121,24,0,0,1,0,0,/453HD,battema01\
61,Brett\'a0Baty*,23,NYM,NL,92,330,297,33,64,11,0,7,29,2,0,27,91,0.215,0.284,0.323,0.608,68,96,7,2,0,1,0,5/HD7,batybr01\
62,Jake\'a0Bauers*,27,NYY,AL,76,245,217,25,44,14,0,11,26,3,2,25,86,0.203,0.282,0.419,0.701,89,91,3,0,0,3,0,973H/D,bauerja01\
63,Mike\'a0Baumann,27,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,baumami01\
64,Matt\'a0Beaty*,30,TOT,MLB,30,72,61,8,14,4,0,0,4,0,0,6,14,0.23,0.347,0.295,0.642,79,18,1,5,0,0,0,3H/D91,beatyma01\
65,Matt\'a0Beaty*,30,SFG,NL,4,5,5,1,1,0,0,0,1,0,0,0,2,0.2,0.2,0.2,0.4,11,1,0,0,0,0,0,/DH1,beatyma01\
66,Matt\'a0Beaty*,30,KCR,AL,26,67,56,7,13,4,0,0,3,0,0,6,12,0.232,0.358,0.304,0.662,84,17,1,5,0,0,0,3/HD9,beatyma01\
67,Josh\'a0Bell#,30,TOT,MLB,130,533,474,45,116,23,0,20,64,0,1,55,114,0.245,0.323,0.42,0.743,105,199,11,1,0,2,1,D3/H,belljo02\
68,Josh\'a0Bell#,30,CLE,AL,97,393,347,26,81,19,0,11,48,0,1,43,81,0.233,0.318,0.383,0.701,95,133,7,1,0,2,1,D3/H,belljo02\
69,Josh\'a0Bell#,30,MIA,NL,33,140,127,19,35,4,0,9,16,0,0,12,33,0.276,0.338,0.52,0.858,130,66,4,0,0,0,0,3D,belljo02\
70,Cody\'a0Bellinger*,27,CHC,NL,111,470,425,84,135,24,1,24,86,19,6,32,74,0.318,0.362,0.548,0.91,140,233,3,3,0,10,3,83/DH,bellico01\
71,Brandon\'a0Belt*,35,TOR,AL,96,380,317,50,80,22,0,16,38,0,0,60,132,0.252,0.371,0.473,0.844,132,150,5,1,0,2,1,D3/H,beltbr01\
72,Anthony\'a0Bemboom*,33,BAL,AL,6,13,11,0,2,0,0,0,0,0,0,2,2,0.182,0.308,0.182,0.49,42,2,0,0,0,0,0,/2,bemboan01\
73,Andrew\'a0Benintendi*,28,CHW,AL,132,550,498,67,135,31,1,5,43,13,1,45,80,0.271,0.333,0.367,0.701,92,183,10,3,1,3,5,*7/HD,beninan01\
74,Will\'a0Benson*,25,CIN,NL,91,281,243,44,65,14,6,9,26,15,2,37,86,0.267,0.367,0.486,0.852,126,118,2,1,0,0,0,79H/8D,bensowi01\
75,Jos\'e9\'a0Berr\'edos,29,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,berrijo01\
76,Jon\'a0Berti,33,MIA,NL,116,369,345,45,96,14,2,3,27,13,5,18,70,0.278,0.313,0.357,0.67,83,123,10,1,2,3,2,65H74/D9,bertijo01\
77,Christian\'a0Bethancourt,31,TBR,AL,95,303,286,45,64,15,0,9,30,0,0,13,85,0.224,0.255,0.371,0.626,71,106,6,0,1,3,0,2/HD1,bethach01\
78,Mookie\'a0Betts,30,LAD,NL,133,610,516,118,162,36,1,38,99,11,3,82,96,0.314,0.411,0.609,1.02,172,314,5,7,0,5,3,*946/H,bettsmo01\
79,Bo\'a0Bichette,25,TOR,AL,115,511,489,55,154,27,2,18,64,3,3,20,94,0.315,0.344,0.489,0.833,127,239,12,2,0,0,0,*6/DH,bichebo01\
80,Cavan\'a0Biggio*,28,TOR,AL,91,257,221,41,49,8,0,8,29,5,2,29,73,0.222,0.327,0.367,0.693,92,81,0,6,0,1,0,4H93/5D6,biggica01\
81,Charlie\'a0Blackmon*,36,COL,NL,77,335,286,48,81,16,4,7,36,1,1,35,42,0.283,0.376,0.441,0.817,111,126,5,10,0,4,0,D9/H,blackch02\
82,Dairon\'a0Blanco,30,KCR,AL,54,117,105,15,25,6,4,2,17,18,5,9,30,0.238,0.31,0.429,0.739,99,45,2,2,1,0,0,79H/8D,blancda02\
83,Travis\'a0Blankenhorn*,26,WSN,NL,6,23,19,1,5,0,0,1,1,0,0,4,2,0.263,0.391,0.421,0.812,127,8,0,0,0,0,0,/79,blanktr01\
84,JJ\'a0Bleday*,25,OAK,AL,77,284,241,34,49,11,0,10,27,5,1,38,66,0.203,0.313,0.373,0.687,95,90,3,2,0,3,0,789/HD,bledajj01\
85,Xander\'a0Bogaerts,30,SDP,NL,136,579,520,68,141,25,0,17,49,14,1,51,97,0.271,0.34,0.417,0.758,112,217,20,5,0,3,0,*6/DH,bogaexa01\
86,Alec\'a0Bohm,26,PHI,NL,126,527,479,67,133,28,0,16,86,4,1,38,81,0.278,0.334,0.436,0.77,110,209,19,5,0,5,0,35/DH,bohmal01\
87,Sean\'a0Bouchard,27,COL,NL,7,14,11,3,1,0,0,0,2,0,1,3,5,0.091,0.286,0.091,0.377,5,1,0,0,0,0,0,/97H,bouchse01\
88,Jackie\'a0Bradley\'a0Jr.*,33,KCR,AL,43,113,105,10,14,5,0,1,6,0,0,5,29,0.133,0.188,0.21,0.397,9,22,3,2,1,0,0,89/7H,bradlja02\
89,Michael\'a0Brantley*,36,HOU,AL,6,20,19,4,6,1,0,2,6,0,0,0,1,0.316,0.3,0.684,0.984,159,13,1,0,0,1,0,/7DH,brantmi02\
90,Matt\'a0Brash,25,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,brashma01\
91,Ryan\'a0Brasier,35,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,brasiry01\
92,Ryan\'a0Brasier,35,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,brasiry01\
93,Alex\'a0Bregman,29,HOU,AL,141,634,548,92,149,25,3,22,92,3,0,78,80,0.272,0.369,0.449,0.818,124,246,18,7,0,1,1,*5/D,bregmal01\
94,Will\'a0Brennan*,25,CLE,AL,121,400,381,36,104,22,0,5,38,12,4,12,53,0.273,0.303,0.37,0.673,87,141,4,5,0,2,1,*9H8/7D,brennwi02\
95,Jonah\'a0Bride,27,OAK,AL,40,106,88,9,15,3,0,0,7,0,1,11,22,0.17,0.286,0.205,0.49,44,18,3,4,1,2,0,5/HD3,bridejo01\
96,Mike\'a0Brosseau,29,MIL,NL,29,78,73,4,15,2,0,4,8,0,0,4,20,0.205,0.256,0.397,0.654,75,29,2,1,0,0,0,5/H31D4,brossmi01\
97,Seth\'a0Brown*,30,OAK,AL,94,322,291,29,62,15,1,13,45,2,1,26,87,0.213,0.28,0.405,0.686,93,118,5,2,1,2,1,973HD,brownse01\
98,Vidal\'a0Bruj\'e1n#,25,TBR,AL,34,79,71,13,13,2,0,0,5,3,2,5,21,0.183,0.256,0.211,0.468,33,15,1,2,1,0,0,4H/659,brujavi01\
99,Kris\'a0Bryant,31,COL,NL,65,275,243,27,61,7,0,8,23,0,0,26,48,0.251,0.338,0.379,0.717,86,92,4,6,0,0,0,9D/7,bryankr01\
100,J.B.\'a0Bukauskas,26,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,bukaujb01\
101,J.B.\'a0Bukauskas,26,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,bukaujb01\
102,Aaron\'a0Bummer*,29,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bummeaa01\
103,Peyton\'a0Burdick,26,MIA,NL,14,37,33,4,6,2,0,1,2,1,0,3,18,0.182,0.27,0.333,0.604,64,11,0,1,0,0,0,9/8H7,burdipe01\
104,Jake\'a0Burger,27,TOT,MLB,121,461,419,63,101,23,1,31,68,1,1,28,130,0.241,0.304,0.523,0.826,120,219,3,11,0,3,0,5D/H34,burgeja01\
105,Jake\'a0Burger,27,CHW,AL,88,323,294,44,63,15,1,25,52,1,1,22,102,0.214,0.279,0.527,0.806,113,155,3,5,0,2,0,5D/H34,burgeja01\
106,Jake\'a0Burger,27,MIA,NL,33,138,125,19,38,8,0,6,16,0,0,6,28,0.304,0.362,0.512,0.874,136,64,0,6,0,1,0,5/D,burgeja01\
107,Alec\'a0Burleson*,24,STL,NL,98,316,287,32,70,18,1,8,33,1,1,21,41,0.244,0.298,0.397,0.695,89,114,12,2,1,2,0,7HD39/1,burleal01\
108,Michael\'a0Busch*,25,LAD,NL,27,81,72,9,12,3,0,2,7,1,0,8,27,0.167,0.247,0.292,0.539,46,21,0,0,0,1,0,5/D3H47,buschmi02\
109,Lawrence\'a0Butler*,22,OAK,AL,24,71,69,6,17,2,0,4,9,0,0,1,16,0.246,0.268,0.449,0.717,100,31,3,1,0,0,0,8/H9,butlela01\
110,Byron\'a0Buxton,29,MIN,AL,85,347,304,49,63,17,1,17,42,9,0,35,109,0.207,0.294,0.438,0.731,97,133,3,4,0,4,2,D/H,buxtoby01\
111,Jos\'e9\'a0Caballero,26,SEA,AL,93,262,214,34,48,9,1,3,24,25,3,28,59,0.224,0.351,0.318,0.669,90,68,0,16,0,4,0,4H6/5D7,cabaljo01\
112,Trey\'a0Cabbage*,26,LAA,AL,21,53,50,5,11,3,0,1,7,1,1,2,24,0.22,0.245,0.34,0.585,56,17,1,0,0,1,0,/3H978,cabbatr01\
113,G\'e9nesis\'a0Cabrera*,26,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,cabrege01\
114,G\'e9nesis\'a0Cabrera*,26,STL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,cabrege01\
115,Miguel\'a0Cabrera,40,DET,AL,84,312,283,17,71,16,0,3,28,0,0,26,63,0.251,0.314,0.339,0.653,79,96,11,1,0,2,0,D/H,cabremi01\
116,Oswaldo\'a0Cabrera#,24,NYY,AL,96,252,227,30,47,8,0,4,25,7,0,20,55,0.207,0.275,0.295,0.57,57,67,6,2,1,2,1,79H5/46D38,cabreos01\
117,Kole\'a0Calhoun*,35,CLE,AL,28,119,104,13,24,5,0,3,16,0,1,12,21,0.231,0.319,0.365,0.685,91,38,3,2,0,1,0,3/D9,calhoko01\
118,Willie\'a0Calhoun*,28,NYY,AL,44,149,134,16,32,7,0,5,16,0,0,14,20,0.239,0.309,0.403,0.712,93,54,2,0,0,1,1,D/9H7,calhowi01\
119,Alex\'a0Call,28,WSN,NL,118,422,361,41,71,13,1,7,36,9,7,50,73,0.197,0.303,0.296,0.6,68,107,1,6,3,2,0,*87/9H,callal02\
120,Johan\'a0Camargo#,29,SFG,NL,8,20,18,0,4,0,0,0,2,0,0,1,4,0.222,0.3,0.222,0.522,48,4,2,1,0,0,0,/65,camarjo01\
121,Luis\'a0Campusano,24,SDP,NL,37,124,116,19,35,5,0,5,19,0,0,6,17,0.302,0.339,0.474,0.813,125,55,6,1,0,1,0,2/DH,campulu01\
122,Alexander\'a0Canario,23,CHC,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/DH,canaral01\
123,Jeimer\'a0Candelario#,29,TOT,NL,133,549,483,75,123,38,3,21,69,8,1,48,119,0.255,0.336,0.476,0.812,121,230,11,13,0,4,1,*53/DH,candeje01\
124,Jeimer\'a0Candelario#,29,WSN,NL,99,419,368,57,95,30,2,16,53,6,1,36,88,0.258,0.342,0.481,0.823,126,177,10,12,0,2,1,*5/D,candeje01\
125,Jeimer\'a0Candelario#,29,CHC,NL,34,130,115,18,28,8,1,5,16,2,0,12,31,0.243,0.315,0.461,0.776,106,53,1,1,0,2,0,35/DH,candeje01\
126,Mark\'a0Canha,34,TOT,NL,121,429,365,42,96,22,1,9,48,8,1,45,68,0.263,0.359,0.403,0.762,110,147,10,13,0,6,1,7D93H/5,canhama01\
127,Mark\'a0Canha,34,NYM,NL,89,303,257,28,63,15,1,6,29,7,0,32,52,0.245,0.343,0.381,0.725,101,98,8,9,0,5,0,7D39H/5,canhama01\
128,Mark\'a0Canha,34,MIL,NL,32,126,108,14,33,7,0,3,19,1,1,13,16,0.306,0.397,0.454,0.851,132,49,2,4,0,1,1,D/973H,canhama01\
129,Yennier\'a0Cano,29,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,canoye01\
130,Dominic\'a0Canzone*,25,TOT,MLB,45,155,147,21,34,12,0,5,15,1,0,7,26,0.231,0.271,0.415,0.686,87,61,4,1,0,0,0,7D9H,canzodo01\
131,Dominic\'a0Canzone*,25,ARI,NL,15,41,38,4,9,2,0,1,8,0,0,2,8,0.237,0.293,0.368,0.661,80,14,1,1,0,0,0,/DH9,canzodo01\
132,Dominic\'a0Canzone*,25,SEA,AL,30,114,109,17,25,10,0,4,7,1,0,5,18,0.229,0.263,0.431,0.694,90,47,3,0,0,0,0,7/9DH,canzodo01\
133,Conner\'a0Capel*,26,OAK,AL,32,86,73,6,19,5,0,0,3,5,3,12,25,0.26,0.372,0.329,0.701,103,24,1,1,0,0,0,97/HD,capelco01\
134,Vinny\'a0Capra,26,PIT,NL,9,21,18,3,3,1,0,0,1,0,0,2,5,0.167,0.25,0.222,0.472,30,4,0,0,1,0,0,/54H,capravi01\
135,Victor\'a0Caratini#,29,MIL,NL,52,192,169,20,42,3,0,6,20,1,1,18,41,0.249,0.328,0.373,0.701,91,63,7,3,0,2,0,2/H3D,caratvi01\
136,Dylan\'a0Carlson#,24,STL,NL,76,255,219,27,48,8,1,5,27,3,0,26,49,0.219,0.318,0.333,0.651,80,73,4,7,0,3,0,89/H7D,carlsdy01\
137,Kerry\'a0Carpenter*,25,DET,AL,98,371,337,47,100,13,2,20,57,4,0,26,88,0.297,0.358,0.525,0.884,137,177,4,7,0,1,2,9D7/H,carpeke01\
138,Matt\'a0Carpenter*,37,SDP,NL,75,233,186,17,32,12,0,4,30,1,0,39,66,0.172,0.315,0.301,0.616,75,56,2,2,0,5,0,DH3,carpema01\
139,Corbin\'a0Carroll*,22,ARI,NL,137,561,487,102,138,26,9,24,69,45,5,53,108,0.283,0.365,0.522,0.887,139,254,6,12,5,4,1,*798/HD,carroco02\
140,Evan\'a0Carter*,20,TEX,AL,1,4,3,0,1,0,0,0,0,1,0,1,2,0.333,0.5,0.333,0.833,135,1,0,0,0,0,0,/9,carteev01\
141,Curt\'a0Casali,34,CIN,NL,40,96,80,8,14,2,0,0,6,0,0,11,23,0.175,0.29,0.2,0.49,36,16,1,2,3,0,0,Feb-35,casalcu01\
142,Triston\'a0Casas*,23,BOS,AL,126,475,407,63,108,20,2,23,60,0,0,65,119,0.265,0.366,0.494,0.86,129,201,7,1,0,2,2,*3H/D,casastr01\
143,Nick\'a0Castellanos,31,PHI,NL,137,592,555,68,149,34,1,22,85,7,2,30,163,0.268,0.306,0.452,0.758,105,251,16,2,0,5,0,*9/DH,casteni01\
144,Diego\'a0Castillo,25,ARI,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,/H,castidi02\
145,Harold\'a0Castro*,29,COL,NL,93,257,248,23,64,13,0,1,30,1,0,6,62,0.258,0.273,0.323,0.596,54,80,5,0,1,2,0,4H8/76D915,castrha01\
146,Miguel\'a0Castro,28,ARI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,castrmi01\
147,Rodolfo\'a0Castro#,24,TOT,NL,89,247,218,21,47,7,0,6,23,1,4,23,71,0.216,0.304,0.33,0.634,73,72,4,5,0,1,1,46H5/D,castrro01\
148,Rodolfo\'a0Castro#,24,PIT,NL,78,224,197,19,45,7,0,6,22,1,4,21,62,0.228,0.317,0.355,0.672,83,70,4,5,0,1,1,46H/5D,castrro01\
149,Rodolfo\'a0Castro#,24,PHI,NL,11,23,21,2,2,0,0,0,1,0,0,2,9,0.095,0.174,0.095,0.269,-23,2,0,0,0,0,0,/54HD,castrro01\
150,Willi\'a0Castro#,26,MIN,AL,106,333,291,47,72,16,3,5,27,31,4,27,81,0.247,0.329,0.375,0.704,93,109,3,10,2,3,1,785H/469D1,castrwi01\
151,Jake\'a0Cave*,30,PHI,NL,54,167,153,14,36,8,0,5,20,3,0,10,42,0.235,0.283,0.386,0.669,82,59,3,1,1,2,0,739/H8D,caveja01\
152,Andrew\'a0Chafin,33,TOT,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,chafian01\
153,Andrew\'a0Chafin,33,ARI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,chafian01\
154,Yu\'a0Chang,27,BOS,AL,39,112,105,12,17,2,0,6,18,4,0,3,34,0.162,0.2,0.352,0.552,44,37,2,2,2,0,0,6/4H35D,changyu01\
